Designator,Mid X,Mid Y,Rotation,Layer
D1,32.62,-23.25,90.0,bottom
D10,204.05,-22.98,90.0,bottom
D11,223.0,-22.98,90.0,bottom
D12,242.29,-22.98,90.0,bottom
D13,261.16,-23.1,90.0,bottom
D14,280.09,-23.1,90.0,bottom
D15,299.19,-23.29,90.0,bottom
D16,32.88,-42.08,90.0,bottom
D17,51.84,-42.0,90.0,bottom
D18,70.8,-41.74,90.0,bottom
D19,90.15,-41.21,90.0,bottom
D2,51.6,-23.35,90.0,bottom
D20,108.97,-41.17,90.0,bottom
D21,128.08,-41.25,90.0,bottom
D22,147.04,-41.25,90.0,bottom
D23,165.77,-41.25,90.0,bottom
D24,184.97,-41.25,90.0,bottom
D25,203.93,-41.25,90.0,bottom
D26,223.12,-41.25,90.0,bottom
D27,242.08,-41.25,90.0,bottom
D28,261.58,-41.47,90.0,bottom
D29,299.27,-42.3,90.0,bottom
D3,70.8,-23.35,90.0,bottom
D30,42.356492,-61.89677,90.0,bottom
D31,61.37,-61.88,90.0,bottom
D32,80.42,-61.95,90.0,bottom
D33,99.48,-61.83,90.0,bottom
D34,118.49,-61.84,90.0,bottom
D35,137.59,-61.78,90.0,bottom
D36,156.58,-61.82,90.0,bottom
D37,175.63,-61.95,90.0,bottom
D38,194.61,-62.0,90.0,bottom
D39,213.58,-62.13,90.0,bottom
D4,90.01,-23.15,90.0,bottom
D40,232.61,-62.16,90.0,bottom
D41,251.79,-62.22,90.0,bottom
D42,270.67,-62.23,90.0,bottom
D43,299.17,-62.22,90.0,bottom
D44,46.9,-81.19,90.0,bottom
D45,66.067223,-81.186974,90.0,bottom
D46,84.99,-81.22,90.0,bottom
D47,104.151691,-81.22,90.0,bottom
D48,123.08,-81.22,90.0,bottom
D49,142.15,-81.22,90.0,bottom
D5,108.81,-23.15,90.0,bottom
D50,161.2,-81.22,90.0,bottom
D51,180.28,-81.22,90.0,bottom
D52,199.32,-81.21,90.0,bottom
D53,218.31,-81.19,90.0,bottom
D54,237.42,-81.21,90.0,bottom
D55,256.44,-81.1,90.0,bottom
D56,299.263926,-81.096502,90.0,bottom
D57,317.77,-81.19,90.0,bottom
D58,56.47,-100.11,90.0,bottom
D59,75.680891,-100.041267,90.0,bottom
D6,127.96,-23.07,90.0,bottom
D60,94.667454,-99.952218,90.0,bottom
D61,113.667127,-99.952218,90.0,bottom
D62,132.67,-99.95,90.0,bottom
D63,151.67,-99.95,90.0,bottom
D64,170.73,-100.15,90.0,bottom
